// Cantrips
// -----------------
// Clairvoyance						AGTT_Shout_Clairvoyance_GM
// Detect Magic (Ritual)			AGTT_Shout_DetectMagic_GM
// Detect Poison and Disease		AGTT_Shout_DetectPoison_GM
// Mental Interference				AGTT_Target_MentalInterference
// Project Object					AGTT_Teleportation_ProjectObject
// Psychic Howl						AGTT_Target_PsychicHowl
// Spectral Shield					AGTT_Shout_SpectralShield

// Game Master mode only, probably
new entry "AGTT_Shout_Clairvoyance_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Clairvoyance"
data "Description" "Concentrating on a person's name, you see brief glimpses of their location, followed by a strong pull toward their location that fades over time."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_CLAIRVOYANCE),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

// Game Master mode only, probably
new entry "AGTT_Shout_DetectMagic_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Detect Magic"
data "Description" "For the duration of the spell, you know if Magic is being cast in the area, or if there are any magical objects or magical traps."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DETECTMAGIC),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

// Game Master mode only, probably
new entry "AGTT_Shout_DetectPoison_GM"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "DisplayName" "Detect Poison & Disease"
data "Description" "For the duration of the spell, you know if there are any Poisons, venemous creatures, or disease in the area."
data "Icon" "unknown"
data "TargetConditions" "Self()"
data "SpellProperties" "ApplyStatus(AGTT_STATUS_DETECTPOISON),100,85"
data "CastEffect" "VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Cast_Root_01,Detach:Dummy_BodyFX::0:None::None::0:0::::;VFX_Spells_Cast_Intent_Whitebox_ShoutSelf_Impact_01:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "MemoryCost" "1"
data "SpellFlags" "IsSpell;IsConcentration;HasSomaticComponent"

new entry "AGTT_Target_MentalInterference"
type "SpellData"
data "SpellType" "Target"
data "Level" "0"
data "ContainerSpells" "AGTT_Target_MentalInterference_Force;AGTT_Target_MentalInterference_Psychic"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful;IsLinkedSpellContainer"
data "TooltipDamageList" "DealDamage(1d8,Psychic)"
data "TooltipAttackSave" "RangedSpellAttack"
data "Icon" "Spell_Divination_DetectThoughts"
data "UseCosts" "ActionPoint:1"
data "DisplayName" "d7347974-49ff-4bb9-a872-04a782728a14"
data "Description" "4cc72b22-7037-4edc-bb70-3227df508c7d"
data "SpellFlags" "HasSomaticComponent;IsSpell;IsHarmful"

new entry "AGTT_Target_MentalInterference_Psychic"
type "SpellData"
using "AGTT_Mysticism_Attack"
data "SpellType" "Target"
data "Level" "0"
data "SpellSchool" "Mysticism"
data "Icon" "Spell_Divination_DetectThoughts"
data "DisplayName" "d7347974-49ff-4bb9-a872-04a782728a14"
data "Description" "b5896c79-e405-48a4-9940-0d8ae6c48f5b;1"
data "DescriptionParams" "DealDamage(1d8,Psychic)"
data "TooltipDamageList" "DealDamage(1d8,Psychic)"
data "TooltipAttackSave" "RangedSpellAttack"
data "TargetRadius" "18"
data "SpellContainerID" "AGTT_Target_MentalInterference"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "SpellSuccess" "DealDamage(1d8,Psychic)"
data "MemoryCost" "1"
data "UseCosts" "ActionPoint:1"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Debuff_Bane_L1to3"
data "TargetSound" "Spell_Impact_Debuff_Bane_L1to3"
data "TargetConditions" "not Self() and not Dead()"
data "CycleConditions" "Enemy() and not Dead()"
