new entry "RUNNING_WATER"
type "StatusData"
data "StatusType" "BOOST"
data "DisplayName" "Status_BOOST_RUNNING_WATER_DisplayName"
data "Description" "Status_BOOST_RUNNING_WATER_Description"
data "StackId" "RUNNING_WATER_VAMPIRE"
data "StackPriority" "0"
data "StatusPropertyFlags" "DisableOverhead;DisableCombatlog;DisablePortraitIndicator"
data "OnApplyFunctors" "IF(Tagged('ASTARION') and not HasStatus(BUOYANCY)):ApplyStatus(RUNNING_WATER_VAMPIRE,100,1)"
data "RemoveConditions" "HasStatus(BUOYANCY)"
data "RemoveEvents" "OnTurn"
